Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);14/01/2024;17;7.327,24
PEVVGNTR1--03 (L);14/01/2024;18;6.902,92
PEVVGNTR1--03 (L);14/01/2024;19;6.856,77
PEVVGNTR1--03 (L);14/01/2024;20;6.600,60
PEVVGNTR1--03 (L);14/01/2024;21;6.335,64
PEVVGNTR1--03 (L);14/01/2024;22;6.837,33
PEVVGNTR1--03 (L);14/01/2024;23;6.889,26
PEVVGNTR1--03 (L);14/01/2024;24;6.802,84
PEVVGNTR1--03 (L);15/01/2024;1;6.659,82
PEVVGNTR1--03 (L);15/01/2024;2;6.297,90
PEVVGNTR1--03 (L);15/01/2024;3;6.168,89
PEVVGNTR1--03 (L);15/01/2024;4;6.207,92
PEVVGNTR1--03 (L);15/01/2024;5;6.923,39
PEVVGNTR1--03 (L);15/01/2024;6;7.041,63
PEVVGNTR1--03 (L);15/01/2024;7;6.613,03
PEVVGNTR1--03 (L);15/01/2024;8;6.710,24
PEVVGNTR1--03 (L);15/01/2024;9;5.992,80
PEVVGNTR1--03 (L);15/01/2024;10;4.881,70
PEVVGNTR1--03 (L);15/01/2024;11;4.906,65
PEVVGNTR1--03 (L);15/01/2024;12;5.002,49
PEVVGNTR1--03 (L);15/01/2024;13;5.074,89
PEVVGNTR1--03 (L);15/01/2024;14;5.094,76
PEVVGNTR1--03 (L);15/01/2024;15;4.883,26
PEVVGNTR1--03 (L);15/01/2024;16;4.837,09
PEVVGNTR1--03 (L);15/01/2024;17;4.825,56
PEVVGNTR1--03 (L);15/01/2024;18;4.678,12
PEVVGNTR1--03 (L);15/01/2024;19;4.592,96
PEVVGNTR1--03 (L);15/01/2024;20;4.571,94
PEVVGNTR1--03 (L);15/01/2024;21;4.810,29
PEVVGNTR1--03 (L);15/01/2024;22;5.338,48
PEVVGNTR1--03 (L);15/01/2024;23;5.028,08
PEVVGNTR1--03 (L);15/01/2024;24;4.773,90
PEVVGNTR1--03 (L);16/01/2024;1;4.891,71
PEVVGNTR1--03 (L);16/01/2024;2;4.604,20
PEVVGNTR1--03 (L);16/01/2024;3;4.559,13
PEVVGNTR1--03 (L);16/01/2024;4;4.953,95
PEVVGNTR1--03 (L);16/01/2024;5;5.069,43
PEVVGNTR1--03 (L);16/01/2024;6;4.781,22
PEVVGNTR1--03 (L);16/01/2024;7;4.816,44
PEVVGNTR1--03 (L);16/01/2024;8;4.783,15
PEVVGNTR1--03 (L);16/01/2024;9;5.080,01
PEVVGNTR1--03 (L);16/01/2024;10;5.494,25
PEVVGNTR1--03 (L);16/01/2024;11;5.316,50
PEVVGNTR1--03 (L);16/01/2024;12;5.210,91
PEVVGNTR1--03 (L);16/01/2024;13;5.076,78
PEVVGNTR1--03 (L);16/01/2024;14;4.858,47
PEVVGNTR1--03 (L);16/01/2024;15;4.968,47
PEVVGNTR1--03 (L);16/01/2024;16;4.954,30
PEVVGNTR1--03 (L);16/01/2024;17;4.671,83
PEVVGNTR1--03 (L);16/01/2024;18;4.573,38
PEVVGNTR1--03 (L);16/01/2024;19;4.498,40
PEVVGNTR1--03 (L);16/01/2024;20;4.522,52
PEVVGNTR1--03 (L);16/01/2024;21;4.326,80
PEVVGNTR1--03 (L);16/01/2024;22;4.410,69
PEVVGNTR1--03 (L);16/01/2024;23;4.632,35
PEVVGNTR1--03 (L);16/01/2024;24;4.439,46
PEVVGNTR1--03 (L);17/01/2024;1;4.297,90
PEVVGNTR1--03 (L);17/01/2024;2;4.454,42
PEVVGNTR1--03 (L);17/01/2024;3;4.396,89
PEVVGNTR1--03 (L);17/01/2024;4;4.277,11
PEVVGNTR1--03 (L);17/01/2024;5;4.482,56
PEVVGNTR1--03 (L);17/01/2024;6;4.620,29
PEVVGNTR1--03 (L);17/01/2024;7;4.587,63
PEVVGNTR1--03 (L);17/01/2024;8;4.821,18
PEVVGNTR1--03 (L);17/01/2024;9;4.889,37
PEVVGNTR1--03 (L);17/01/2024;10;4.991,49
PEVVGNTR1--03 (L);17/01/2024;11;5.036,61
PEVVGNTR1--03 (L);17/01/2024;12;5.216,30
PEVVGNTR1--03 (L);17/01/2024;13;5.046,42
PEVVGNTR1--03 (L);17/01/2024;14;5.008,97
PEVVGNTR1--03 (L);17/01/2024;15;5.251,40
PEVVGNTR1--03 (L);17/01/2024;16;5.536,84
PEVVGNTR1--03 (L);17/01/2024;17;5.396,23
PEVVGNTR1--03 (L);17/01/2024;18;5.137,92
PEVVGNTR1--03 (L);17/01/2024;19;4.969,34
PEVVGNTR1--03 (L);17/01/2024;20;5.015,25
PEVVGNTR1--03 (L);17/01/2024;21;5.120,82
PEVVGNTR1--03 (L);17/01/2024;22;5.060,59
PEVVGNTR1--03 (L);17/01/2024;23;5.121,66
PEVVGNTR1--03 (L);17/01/2024;24;5.102,34
PEVVGNTR1--03 (L);18/01/2024;1;5.284,64
PEVVGNTR1--03 (L);18/01/2024;2;5.266,71
PEVVGNTR1--03 (L);18/01/2024;3;5.428,07
PEVVGNTR1--03 (L);18/01/2024;4;5.519,96
PEVVGNTR1--03 (L);18/01/2024;5;5.663,62
PEVVGNTR1--03 (L);18/01/2024;6;5.807,34
PEVVGNTR1--03 (L);18/01/2024;7;6.309,03
PEVVGNTR1--03 (L);18/01/2024;8;6.254,18
PEVVGNTR1--03 (L);18/01/2024;9;6.242,92
PEVVGNTR1--03 (L);18/01/2024;10;6.427,80
PEVVGNTR1--03 (L);18/01/2024;11;6.827,81
PEVVGNTR1--03 (L);18/01/2024;12;6.987,41
PEVVGNTR1--03 (L);18/01/2024;13;6.822,43
PEVVGNTR1--03 (L);18/01/2024;14;6.966,10
PEVVGNTR1--03 (L);18/01/2024;15;7.021,76
PEVVGNTR1--03 (L);18/01/2024;16;6.951,07
PEVVGNTR1--03 (L);18/01/2024;17;7.036,66
PEVVGNTR1--03 (L);18/01/2024;18;7.510,16
PEVVGNTR1--03 (L);18/01/2024;19;7.196,25
PEVVGNTR1--03 (L);18/01/2024;20;7.125,25
PEVVGNTR1--03 (L);18/01/2024;21;7.101,16
PEVVGNTR1--03 (L);18/01/2024;22;6.775,90
PEVVGNTR1--03 (L);18/01/2024;23;7.321,30
PEVVGNTR1--03 (L);18/01/2024;24;7.279,32
PEVVGNTR1--03 (L);19/01/2024;1;7.012,46
PEVVGNTR1--03 (L);19/01/2024;2;6.876,69
PEVVGNTR1--03 (L);19/01/2024;3;6.811,96
PEVVGNTR1--03 (L);19/01/2024;4;7.236,84
PEVVGNTR1--03 (L);19/01/2024;5;7.231,90
